0.0000,3.28,0.88
0.0000,3.58,0.15
0.0020,3.16,0.96
0.0020,2.91,
0.0040,3.33,0.88
0.0040,3.16,
0.0040,3.58,0.17
0.0059,3.66,0.70
0.0060,3.23,
0.0070,2.97,0.27
0.0080,3.23,
0.0080,3.71,0.06
0.0100,3.20,
0.0100,3.11,0.27
0.0118,4.35,0.55
0.0120,3.65,-0.04
0.0120,4.34,-0.15
0.0130,3.47,
0.0150,4.32,-0.13
0.0160,4.72,-0.21
0.0179,5.07,0.15
0.0180,4.82,
0.0180,5.05,
0.0180,4.70,-0.13
0.0200,4.97,
0.0200,4.71,-0.14
0.0214,4.99,0.17
0.0230,4.42,-0.18
0.0240,4.93,
0.0240,4.62,-0.02
0.0260,4.82,0.22
0.0270,4.77,
0.0280,4.46,-0.16
0.0280,4.59,0.03
0.0300,4.30,
0.0305,4.65,0.59
0.0320,4.52,0.06
0.0330,4.54,
0.0330,4.28,0.05
0.0335,4.80,0.76
0.0360,4.48,0.05
0.0361,4.67,0.76
0.0370,4.18,-0.12
0.0388,4.59,0.72
0.0400,4.35,
0.0400,4.57,0.00
0.0410,4.38,
0.0420,4.20,-0.12
0.0423,4.53,0.84
0.0440,4.58,0.01
0.0457,4.45,0.74
0.0470,4.27,0.07
0.0480,4.13,
0.0480,4.48,0.05
0.0486,4.58,0.97
0.0500,4.43,
0.0507,4.45,0.85
0.0520,4.42,
0.0520,3.93,-0.19
0.0520,4.46,0.01
0.0529,4.19,0.77
0.0550,4.03,
0.0551,4.23,0.32
0.0560,4.47,-0.08
0.0569,4.55,0.03
0.0570,3.85,-0.21
0.0600,4.54,-0.19
0.0607,4.66,-0.01
0.0610,4.19,-0.23
0.0640,4.35,
0.0640,4.19,-0.17
0.0640,4.53,-0.13
0.0645,4.37,0.40
0.0650,4.76,
0.0680,4.39,0.06
0.0690,4.13,
0.0705,3.96,1.09
0.0720,3.96,-0.02
0.0720,4.20,0.19
0.0741,3.99,1.19
0.0760,4.15,
0.0760,4.14,0.14
0.0770,3.89,1.07
0.0799,3.77,0.91
0.0800,3.61,
0.0800,3.51,0.08
0.0800,4.05,0.12
0.0829,4.04,0.67
0.0830,3.69,-0.01
0.0840,3.90,0.18
0.0860,4.29,0.93
0.0870,3.87,0.06
0.0880,3.84,0.15
0.0890,3.92,
0.0894,4.07,1.01
0.0900,4.25,
0.0910,3.61,0.03
0.0920,3.90,0.11
0.0929,4.02,0.98
0.0950,3.68,
0.0950,3.42,0.04
0.0960,3.95,0.11
0.0967,3.81,1.01
0.0980,3.72,
0.0990,3.74,-0.02
0.1000,3.89,0.02
0.1004,3.62,0.83
0.1010,3.85,
0.1040,3.54,
0.1040,3.47,-0.06
0.1040,3.80,-0.01
0.1062,3.97,0.71
0.1080,3.76,0.06
0.1090,3.85,
0.1090,3.81,-0.16
0.1120,4.00,0.70
0.1120,3.68,0.09
0.1130,3.87,
0.1140,3.28,
0.1140,3.45,0.00
0.1155,3.69,0.91
0.1160,3.43,0.16
0.1180,4.25,
0.1188,3.62,0.81
0.1190,2.72,-0.14
0.1200,3.22,
0.1200,3.25,0.12
0.1217,3.19,0.78
0.1220,2.69,
0.1240,3.30,0.00
0.1244,3.05,0.92
0.1260,2.79,
0.1260,4.40,-0.30
0.1269,3.84,0.29
0.1280,3.78,-0.14
0.1310,3.69,
0.1312,4.64,0.12
0.1320,4.43,-0.27
0.1330,4.50,-0.34
0.1350,4.99,
0.1360,4.96,
0.1360,4.77,-0.34
0.1370,4.52,
0.1400,4.89,-0.17
0.1400,4.58,
0.1400,4.79,-0.37
0.1410,4.80,
0.1410,4.55,-0.33
0.1430,4.55,
0.1440,4.56,
0.1440,4.74,-0.31
0.1447,4.93,-0.25
0.1450,4.29,-0.45
0.1466,4.97,-0.03
0.1480,4.68,
0.1480,4.65,-0.29
0.1482,4.83,-0.02
0.1490,5.07,
0.1498,4.74,0.07
0.1510,4.30,-0.47
0.1520,4.58,-0.35
0.1521,4.58,0.14
0.1530,4.78,
0.1548,4.59,-0.13
0.1560,4.06,-0.41
0.1560,4.63,-0.34
0.1570,4.50,
0.1575,4.60,0.09
0.1600,4.62,-0.35
0.1602,4.38,0.14
0.1610,4.77,
0.1610,4.33,-0.48
0.1630,4.35,0.21
0.1640,4.43,-0.30
0.1655,4.30,0.28
0.1660,4.19,-0.44
0.1670,4.53,
0.1677,4.36,0.38
0.1680,4.27,-0.26
0.1698,4.50,0.17
0.1710,4.11,
0.1710,4.03,-0.39
0.1720,4.42,0.08
0.1720,4.25,-0.30
0.1741,4.52,0.04
0.1760,4.20,
0.1760,4.11,-0.54
0.1760,4.29,-0.36
0.1763,4.61,-0.18
0.1800,4.34,-0.36
0.1808,4.33,0.02
0.1810,4.14,-0.32
0.1830,4.50,
0.1840,4.27,-0.25
0.1860,4.44,
0.1860,3.94,-0.38
0.1873,4.06,0.61
0.1880,4.04,-0.09
0.1890,3.62,
0.1900,3.43,-0.15
0.1910,3.95,
0.1920,3.84,-0.03
0.1938,3.73,0.86
0.1940,2.87,
0.1950,3.43,-0.01
0.1955,3.48,0.85
